ID_indiv X Y Env1 Env2 Env3 Env4 Env5 Env6 Env7 Env8 Env9 Env10 Env11 PSV1 PSV2
XHS10 127.0478 42.8874 35 132 25 200 747 93 29 0.0199563288441634 0.289676462938388 -8.375 1 -0.385924757416022 -0.00694288779726607
XMX5 101.9801 37.2623 26 123 33 129 471 90 8 0.136997497113067 0.6942952341639 -23.5 1 0.116670497835795 -0.207238497398705
XXG025 122.6181 47.8172 15 121 23 187 459 114 10 0.0304063280089556 0.287661953711183 0.75 1 -0.349126090068518 0.0187270843705647
XYQ060 124.3103 50.7067 -23 151 25 169 492 104 13 0.0151002737460161 2.59323330402363 3.375 4 -0.410170792617015 0.0383389030779546
YCS25 128.5499 47.6333 7 133 23 188 644 102 18 0.0419007627407326 5.28709549892775 25.625 16 -0.41780105978892 0.0131616417273291
YJA54 101.2854 30.0472 40 138 45 109 806 96 12 0.230035859877189 5.25539707747475 -158.125 16 0.733779684585828 -0.590008344400138
YKS014 120.9051 49.1213 -22 130 24 158 445 108 14 0.0224173562249009 3.86396013049033 0.875 16 -0.31824336546399 0.0750548754858498
YLK048 121.6293 48.8535 -21 125 24 152 494 111 13 0.0181170138998749 2.60801996536593 -15.75 1 -0.330448509928255 0.0545710320818906
ZJ027 122.5723 52.9555 -41 153 25 161 446 99 13 0.0118473915986984 5.79168729917172 1.625 16 -0.414685970039734 0.0417852484702211
ZSL004 124.6643 49.2359 -3 142 24 184 497 110 11 0.0281849099139888 2.41256941636372 -7.25 1 -0.405364698614137 0.0304865155269868
